Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
11636	ENSG00000214210.4	RP11-208P4.1	0
11637	ENSG00000221251.1	MIR1263	0
11638	ENSG00000221755.1	MIR720	0
11639	ENSG00000241636.1	RP11-71H9.2	0
11640	ENSG00000241767.2	RP11-71H9.1	0
11641	ENSG00000090402.3	SI	0
11642	ENSG00000200052.1	Y_RNA	0
11643	ENSG00000239205.1	RP11-747D18.1	0
11644	ENSG00000121871.3	SLITRK3	0
11648	ENSG00000240084.1	RP11-12N13.6	0
11649	ENSG00000240824.1	MTND3P7	0
11651	ENSG00000242326.1	RP11-12N13.2	0
11653	ENSG00000244321.1	RP11-450H5.1	0
11654	ENSG00000271263.1	RP11-450H5.4	0
11655	ENSG00000251759.1	RN7SKP298	0
11657	ENSG00000240458.1	RP11-450H5.3	0
11658	ENSG00000231516.3	CBX1P5	0
11659	ENSG00000240033.1	RP11-12K11.2	0
11660	ENSG00000239227.1	RP11-12K11.1	0
11661	ENSG00000215922.1	AC092965.1	0
11664	ENSG00000241669.1	RP11-576M8.2	0
11665	ENSG00000114204.10	SERPINI2	0
11670	ENSG00000242924.1	RP11-298O21.6	0
11671	ENSG00000244214.1	RP11-298O21.7	0
11672	ENSG00000244706.2	RP11-298O21.3	0
11673	ENSG00000240292.1	RP11-298O21.2	0
11674	ENSG00000239238.1	MEMO1P3	0
11676	ENSG00000242036.1	RP11-603B13.1	0
11677	ENSG00000241203.1	HMGN2P26	0
11679	ENSG00000266363.1	AC069243.1	0
11681	ENSG00000241882.1	RP11-637O11.2	0
11682	ENSG00000222357.1	RNU2-20P	0
11683	ENSG00000207717.1	MIR551B	0
11684	ENSG00000226765.1	RP11-694D5.1	0
11685	ENSG00000231688.1	RPL21P43	0
11686	ENSG00000242268.2	RP11-368I23.2	0
11687	ENSG00000272797.1	RP11-368I23.3	0
11688	ENSG00000273177.1	RP11-368I23.4	0
11689	ENSG00000241383.1	RP11-152C17.1	0
11691	ENSG00000241479.1	RP11-641D5.2	0
11693	ENSG00000242795.2	RP11-3K16.2	0
11695	ENSG00000206777.1	RNU6-637P	0
11698	ENSG00000269889.1	RP11-816J6.3	0
11704	ENSG00000188306.6	LRRIQ4	0
11705	ENSG00000114248.5	LRRC31	0
11706	ENSG00000240128.1	KRT18P43	0
11707	ENSG00000187033.5	SAMD7	0
11708	ENSG00000244039.1	RP11-379K17.2	0
11713	ENSG00000201342.1	RNU4-38P	0
11716	ENSG00000199536.1	RNU6-315P	0
11718	ENSG00000200118.1	Y_RNA	0
11719	ENSG00000239628.1	RP11-543D10.2	0
11727	ENSG00000239739.1	RP11-373E16.4	0
11728	ENSG00000222411.1	RNY5P3	0
11733	ENSG00000163581.9	SLC2A2	0
11735	ENSG00000207963.1	MIR569	0
11736	ENSG00000222506.1	Y_RNA	0
11738	ENSG00000207114.1	RNU6-348P	0
11741	ENSG00000238359.1	snoU13	0
11744	ENSG00000234717.1	TMEM212-AS1	0
11745	ENSG00000235943.1	TMEM212-IT1	0
11748	ENSG00000243398.2	RN7SL141P	0
11749	ENSG00000267979.1	AC092964.2	0
11750	ENSG00000203443.2	AC092964.1	0
11752	ENSG00000121853.3	GHSR	0
11754	ENSG00000224611.1	AC007919.18	0
11758	ENSG00000269496.1	AC007919.2	0
11759	ENSG00000264711.1	AC007919.1	0
11760	ENSG00000231384.1	AC007919.19	0
11761	ENSG00000252082.1	RNU6-547P	0
11763	ENSG00000200355.1	SNORA72	0
11764	ENSG00000201458.1	RNU4-4P	0
11766	ENSG00000237501.1	RP11-816B4.1	0
11768	ENSG00000239141.1	snoU13	0
11769	ENSG00000237473.1	RP11-324C10.1	0
11771	ENSG00000237645.1	RP11-521A24.1	0
11772	ENSG00000228213.1	NLGN1-AS1	0
11773	ENSG00000252982.1	RN7SKP234	0
11774	ENSG00000232601.1	RP11-393N4.1	0
11777	ENSG00000253020.1	RN7SKP40	0
11778	ENSG00000230497.2	RP11-432A8.2	0
11779	ENSG00000230292.1	NAALADL2-AS3	0
11780	ENSG00000226779.1	NAALADL2-AS2	0
11781	ENSG00000264974.1	MIR4789	0
11782	ENSG00000199792.1	RNU6-1233P	0
11783	ENSG00000201648.1	RNU4-91P	0
11786	ENSG00000271842.1	snoU13	0
11787	ENSG00000201452.1	RNU6-1317P	0
11788	ENSG00000225552.1	NAALADL2-AS1	0
11789	ENSG00000273193.1	RP11-523G9.3	0
11790	ENSG00000260217.1	RP11-809F4.3	0
11792	ENSG00000236357.1	EI24P1	0
11793	ENSG00000271413.1	RP11-809F4.4	0
11794	ENSG00000238026.1	RP11-78E6.1	0
11797	ENSG00000252302.1	RNA5SP147	0
11802	ENSG00000201343.1	Y_RNA	0
11803	ENSG00000200882.1	RNU6-681P	0
11805	ENSG00000236893.1	ASS1P7	0
11806	ENSG00000226782.2	RP11-706D8.3	0
11808	ENSG00000252028.1	RN7SKP52	0
11809	ENSG00000236385.1	RP11-114M1.2	0
11810	ENSG00000200288.1	SNORA18	0
11812	ENSG00000231574.1	RP11-91K9.1	0
11813	ENSG00000225790.1	RP11-2L8.1	0
11814	ENSG00000270321.1	RP11-2L8.2	0
11815	ENSG00000199858.1	RNU6-1120P	0
11819	ENSG00000252336.1	RNA5SP148	0
11820	ENSG00000271131.1	RP11-33A14.3	0
11826	ENSG00000201957.1	SNORA25	0
11837	ENSG00000239255.1	RP11-145M9.2	0
11848	ENSG00000270178.1	RP11-494H4.3	0
11849	ENSG00000243799.1	PEX5L-AS1	0
11850	ENSG00000244302.1	PEX5L-AS2	0
11851	ENSG00000201822.1	RNA5SP149	0
11852	ENSG00000213158.5	GAPDHP36	0
11854	ENSG00000241696.1	RP11-420J11.2	0
11857	ENSG00000199986.1	RNU6-486P	0
11858	ENSG00000241946.1	RP11-496B10.1	0
11861	ENSG00000243187.1	CCDC39-AS1	0
11862	ENSG00000242811.2	RN7SL229P	0
11871	ENSG00000206932.1	RNU6-4P	0
11872	ENSG00000237806.1	FAUP2	0
11873	ENSG00000241231.1	RP11-275H4.1	0
11874	ENSG00000235294.1	RPL7AP25	0
11875	ENSG00000239381.1	RP11-4B14.3	0
11877	ENSG00000266317.1	RN7SL703P	0
11878	ENSG00000199839.1	RNA5SP150	0
11879	ENSG00000239805.1	RP11-252O18.2	0
11880	ENSG00000213155.4	RP11-252O18.3	0
11882	ENSG00000252257.1	RN7SKP265	0
11883	ENSG00000240478.1	RP11-416O18.2	0
11884	ENSG00000242012.1	RP11-338L18.1	0
11885	ENSG00000241098.1	RP11-139K4.1	0
11886	ENSG00000244199.1	RP11-139K4.4	0
11887	ENSG00000244247.1	RP11-139K4.2	0
11889	ENSG00000238837.3	RP11-646E18.2	0
11890	ENSG00000243378.1	RP11-646E18.3	0
11897	ENSG00000244346.1	RP11-531F16.3	0
11903	ENSG00000202502.1	RNA5SP151	0
11905	ENSG00000201229.1	SNORA63	0
11908	ENSG00000251730.1	SNORA4	0
11909	ENSG00000271682.1	RP11-393B14.2	0
11911	ENSG00000242522.1	KLHL6-AS1	0
11915	ENSG00000216166.1	AC131160.1	0
11920	ENSG00000263932.1	MIR4448	0
11927	ENSG00000233576.1	RP11-778D9.9	0
11928	ENSG00000207351.1	Y_RNA	0
11929	ENSG00000238020.1	HTR3E-AS1	0
11940	ENSG00000221120.1	MIR1224	0
11946	ENSG00000212158.1	SNORD66	0
11952	ENSG00000224153.2	RP11-433C9.2	0
11953	ENSG00000227509.1	EIF2B5-IT1	0
11954	ENSG00000230215.1	EIF2B5-AS1	0
11960	ENSG00000229433.1	RP11-329B9.1	0
11963	ENSG00000223358.1	EHHADH-AS1	0
11966	ENSG00000264614.1	hsa-mir-5588	0
11969	ENSG00000239146.1	snoU13	0
11976	ENSG00000265470.1	MIR548AQ	0
11983	ENSG00000234548.1	RP11-78H24.1	0
11984	ENSG00000224406.1	RP11-48F14.1	0
11985	ENSG00000226859.1	RP11-48F14.2	0
11991	ENSG00000236524.1	RP11-134F2.2	0
11993	ENSG00000225175.1	RP11-795A2.2	0
11994	ENSG00000226724.1	RP11-795A2.3	0
11997	ENSG00000226652.1	PSMD10P2	0
11998	ENSG00000207505.1	RNU6-1105P	0
12019	ENSG00000175077.5	RTP1	0
12022	ENSG00000239093.1	snoU13	0
12024	ENSG00000157005.3	SST	0
12025	ENSG00000198471.1	RTP2	0
12026	ENSG00000228804.1	RP11-211G3.3	0
12030	ENSG00000236864.1	RP11-44H4.1	0
12031	ENSG00000224187.1	RP11-132N15.3	0
12032	ENSG00000225058.1	RP11-132N15.1	0
12033	ENSG00000236412.1	RP11-132N15.2	0
12034	ENSG00000234238.1	RP11-430L16.1	0
12038	ENSG00000224563.1	LPP-AS1	0
12039	ENSG00000264114.1	AC063932.1	0
12040	ENSG00000207651.1	MIR28	0
12041	ENSG00000234076.1	TPRG1-AS1	0
12043	ENSG00000236182.1	RP11-297K7.1	0
12044	ENSG00000230115.1	TPRG1-AS2	0
12046	ENSG00000227971.1	RP11-600G3.1	0
12047	ENSG00000216058.1	MIR944	0
12049	ENSG00000230077.1	MTAPP2	0
12050	ENSG00000265045.1	RN7SL486P	0
12051	ENSG00000225764.1	LEPREL1-AS1	0
12052	ENSG00000252733.1	AC067718.1	0
12053	ENSG00000212489.1	RNU6-1109P	0
12054	ENSG00000238077.1	NMNAT1P3	0
12059	ENSG00000231047.1	GCNT1P3	0
12061	ENSG00000273370.1	RP11-268E23.2	0
12062	ENSG00000228730.1	RP11-95L3.2	0
12063	ENSG00000232610.1	CCT6P4	0
12067	ENSG00000233308.1	OSTN-AS1	0
12072	ENSG00000201860.1	Y_RNA	0
12073	ENSG00000200270.1	Y_RNA	0
12075	ENSG00000216020.1	AC026320.1	0
12077	ENSG00000222583.1	RN7SKP222	0
12079	ENSG00000231383.2	FGF12-AS1	0
12080	ENSG00000230126.1	FGF12-AS2	0
12081	ENSG00000226709.1	FGF12-AS3	0
12082	ENSG00000238902.1	snoU13	0
12083	ENSG00000200184.1	RNU1-20P	0
12085	ENSG00000232130.1	RP11-143P4.2	0
12088	ENSG00000187527.6	ATP13A5	0
12089	ENSG00000236508.1	ATP13A5-AS1	0
12091	ENSG00000225473.1	ATP13A4-AS1	0
12095	ENSG00000207370.1	Y_RNA	0
12096	ENSG00000243991.2	RN7SL447P	0
12097	ENSG00000223986.1	RP11-528A4.3	0
12106	ENSG00000242201.2	RN7SL215P	0
12115	ENSG00000271483.1	RP11-384A12.1	0
12118	ENSG00000252053.1	RNU6-1101P	0
12119	ENSG00000232873.1	AC046143.6	0
12123	ENSG00000272707.1	RP11-534C12.1	0
12125	ENSG00000266447.1	AC046143.2	0
12126	ENSG00000221718.1	AC046143.1	0
12130	ENSG00000234805.1	AC090505.5	0
12131	ENSG00000230401.1	AC090505.4	0
12132	ENSG00000238031.1	AC090505.1	0
12134	ENSG00000233303.1	XXYLT1-AS1	0
12135	ENSG00000265333.1	MIR3137	0
12138	ENSG00000206600.1	RNU6-25P	0
12142	ENSG00000207368.1	Y_RNA	0
12147	ENSG00000236425.1	AC090018.1	0
12157	ENSG00000223783.1	AC124944.5	0
12158	ENSG00000235836.1	AC124944.4	0
12162	ENSG00000273009.1	RP11-352G9.1	0
12163	ENSG00000266730.1	RN7SL773P	0
12171	ENSG00000252174.1	RNU7-18P	0
12174	ENSG00000222335.1	Y_RNA	0
12182	ENSG00000212146.1	RNU6-910P	0
12184	ENSG00000206644.1	RNU6-1279P	0
12189	ENSG00000225240.1	AC117490.2	0
12200	ENSG00000201441.1	RNU6-646P	0
12204	ENSG00000206892.1	RNU6-42P	0
12215	ENSG00000265850.1	MIR4797	0
12217	ENSG00000238491.1	snoU13	0
12220	ENSG00000237167.1	AC128709.2	0
12221	ENSG00000272989.1	RP13-616I3.1	0
12232	ENSG00000234136.1	AC055764.1	0
12235	ENSG00000199306.1	RNU6-858P	0
12238	ENSG00000201622.1	RNU6-621P	0
12241	ENSG00000212297.1	RNU6-821P	0
12244	ENSG00000236246.1	AC073135.4	0
12246	ENSG00000222792.1	RNU6-860P	0
12248	ENSG00000226008.1	AC073135.7	0
12258	ENSG00000252616.1	AC079140.1	0
12262	ENSG00000251535.1	RP11-478C6.1	0
12264	ENSG00000248564.1	RP11-478C6.2	0
12266	ENSG00000207642.1	MIR571	0
12268	ENSG00000211482.1	AC092574.1	0
12274	ENSG00000273238.1	RP11-1263C18.1	0
12275	ENSG00000263386.1	RN7SL358P	0
12278	ENSG00000272927.1	RP11-1191J2.5	0
12288	ENSG00000260262.1	RP11-440L14.3	0
12295	ENSG00000250259.1	RP11-460I19.2	0
12297	ENSG00000251639.2	RP11-20I20.1	0
12299	ENSG00000215367.6	TMED11P	0
12300	ENSG00000212458.1	SNORA48	0
12311	ENSG00000235608.1	NKX1-1	0
12312	ENSG00000272783.1	RP13-1016M1.2	0
12315	ENSG00000207009.1	Y_RNA	0
12328	ENSG00000216105.1	MIR943	0
12332	ENSG00000249006.1	RP11-317B7.2	0
12333	ENSG00000250623.1	RP11-317B7.3	0
12343	ENSG00000248399.1	RP11-503N18.4	0
12346	ENSG00000206738.1	Y_RNA	0
12355	ENSG00000199335.1	RNU6-204P	0
12356	ENSG00000251075.1	HTT-AS	0
12361	ENSG00000248843.1	RP11-357G3.1	0
12367	ENSG00000216560.4	LINC00955	0
12369	ENSG00000250632.1	RP3-513G18.2	0
12372	ENSG00000251166.1	OR7E163P	0
12373	ENSG00000234386.4	OR7E162P	0
12374	ENSG00000249522.1	RP11-718M20.5	0
12378	ENSG00000253917.3	AC226119.5	0
12380	ENSG00000264106.1	AC116562.2	0
12382	ENSG00000221301.1	AC116562.1	0
12383	ENSG00000250940.1	RP11-489M13.3	0
12384	ENSG00000248669.1	RP11-489M13.2	0
12385	ENSG00000198787.5	OR4D12P	0
12386	ENSG00000250381.1	UNC93B4	0
12387	ENSG00000250710.3	OR7E99P	0
12388	ENSG00000249844.1	OR7E43P	0
12389	ENSG00000163982.5	OTOP1	0
12393	ENSG00000248516.1	RP11-265O12.1	0
12396	ENSG00000248221.1	STX18-IT1	0
12399	ENSG00000273396.1	RP11-326I19.3	0
12402	ENSG00000200761.1	RN7SKP113	0
12405	ENSG00000252266.1	Y_RNA	0
12406	ENSG00000201496.1	RN7SKP275	0
12411	ENSG00000263631.1	MIR378D1	0
12416	ENSG00000269908.1	RP11-1406H17.1	0
12430	ENSG00000265953.1	AC092463.1	0
12433	ENSG00000265550.1	AC097382.1	0
12439	ENSG00000200867.1	RN7SKP36	0
12441	ENSG00000264658.1	MIR4798	0
12442	ENSG00000178597.4	PSAPL1	0
12443	ENSG00000266690.1	MIR4274	0
12448	ENSG00000207807.1	MIR95	0
12449	ENSG00000273267.1	RP11-338K13.1	0
12450	ENSG00000251460.1	RP11-1258F18.1	0
12454	ENSG00000249145.1	RP11-774O3.2	0
12458	ENSG00000202054.1	RNA5SP152	0
12464	ENSG00000250915.1	RP11-1338A24.1	0
12465	ENSG00000215612.5	HMX1	0
12466	ENSG00000258507.1	RP13-582L3.4	0
12467	ENSG00000197468.4	RP11-747H12.1	0
12468	ENSG00000249272.1	UNC93B8	0
12469	ENSG00000250804.1	RP11-747H12.3	0
12470	ENSG00000249347.1	RP11-747H12.4	0
12471	ENSG00000271057.1	RP11-747H12.7	0
12472	ENSG00000238726.1	AC073648.1	0
12475	ENSG00000249767.1	ENPP7P10	0
12478	ENSG00000264372.1	AC108519.1	0
12479	ENSG00000229924.2	FAM90A26	0
12480	ENSG00000231396.1	USP17L10	0
12481	ENSG00000233136.1	USP17L11	0
12482	ENSG00000227551.1	USP17L12	0
12483	ENSG00000232399.2	USP17L13	0
12484	ENSG00000249482.1	USP17L14P	0
12485	ENSG00000223569.1	USP17L15	0
12486	ENSG00000250231.1	USP17L16P	0
12487	ENSG00000249104.1	USP17L17	0
12488	ENSG00000250844.1	USP17L18	0
12489	ENSG00000248920.1	USP17L19	0
12490	ENSG00000250745.1	USP17L20	0
12491	ENSG00000249811.1	USP17L21	0
12492	ENSG00000248933.1	USP17L22	0
12493	ENSG00000250913.2	USP17L23	0
12494	ENSG00000232264.3	USP17L24	0
12495	ENSG00000230430.3	USP17L25	0
12496	ENSG00000229579.3	USP17L26	0
12497	ENSG00000227140.3	USP17L5	0
12498	ENSG00000235780.3	USP17L27	0
12499	ENSG00000231051.3	USP17L28	0
12500	ENSG00000231637.3	USP17L29	0
12501	ENSG00000251694.1	USP17L9P	0
12502	ENSG00000228856.3	USP17L30	0
12503	ENSG00000205946.1	USP17L6P	0
12504	ENSG00000219492.4	RP11-1396O13.13	0
12505	ENSG00000188438.4	RP11-1396O13.14	0
12506	ENSG00000252307.1	RNA5SP153	0
12507	ENSG00000232773.2	RP11-1396O13.15	0
12508	ENSG00000186146.1	DEFB131	0
12509	ENSG00000248364.1	OR7E86P	0
12510	ENSG00000215323.4	OR7E84P	0
12511	ENSG00000266246.1	AC116655.1	0
12512	ENSG00000250884.1	OR7E85P	0
12513	ENSG00000251624.1	UNC93B7	0
12515	ENSG00000249443.1	RP11-1396O13.22	0
12516	ENSG00000242034.1	RP11-1396O13.1	0
12517	ENSG00000221275.1	MIR548I2	0
12520	ENSG00000265901.1	AC097493.1	0
12521	ENSG00000250942.1	ENPP7P11	0
12524	ENSG00000249563.1	RP11-751L19.1	0
12525	ENSG00000250425.1	OR7E35P	0
12528	ENSG00000252002.1	RNA5SP154	0
12529	ENSG00000249219.1	RP13-560N11.1	0
12530	ENSG00000250413.1	RP11-448G15.1	0
12533	ENSG00000264931.1	MIR3138	0
12535	ENSG00000250393.1	RP11-480G3.1	0
12538	ENSG00000271544.1	AC006499.9	0
12541	ENSG00000250074.1	AC006499.4	0
12543	ENSG00000251278.1	AC006499.2	0
12544	ENSG00000251338.1	AC006499.1	0
12549	ENSG00000249334.1	RP11-61G19.1	0
12550	ENSG00000207716.1	MIR572	0
12552	ENSG00000002587.5	HS3ST1	0
12553	ENSG00000222182.1	RNA5SP156	0
12555	ENSG00000249631.1	RP11-281P23.2	0
12556	ENSG00000248300.1	RP11-74M11.2	0
12557	ENSG00000248262.1	RP11-1J7.1	0
12558	ENSG00000266669.1	AC097452.1	0
12559	ENSG00000251210.1	RP11-168E17.1	0
12560	ENSG00000212282.1	RNU6-578P	0
12561	ENSG00000249995.1	RP11-352E6.1	0
12564	ENSG00000250098.1	RP11-22A3.1	0
12565	ENSG00000252235.1	RNU6-962P	0
12571	ENSG00000266240.1	MIR5091	0
12573	ENSG00000242209.1	AC006445.6	0
12574	ENSG00000250634.1	RP11-341G5.1	0
12575	ENSG00000252092.1	AC098830.1	0
12577	ENSG00000224569.3	RP11-341G5.2	0
12579	ENSG00000251317.1	KLF17P2	0
12580	ENSG00000251679.1	RP11-669M16.2	0
12581	ENSG00000249988.1	RP11-669M16.1	0
12582	ENSG00000251412.1	AC006296.1	0
12583	ENSG00000248425.1	AC006296.2	0
12585	ENSG00000251252.1	MTND2P31	0
12586	ENSG00000202449.1	SNORA63	0
12591	ENSG00000163145.8	C1QTNF7	0
12592	ENSG00000251379.1	RP11-484O2.1	0
12595	ENSG00000273133.1	RP11-799M12.2	0
12599	ENSG00000214846.4	RP11-115L11.1	0
12600	ENSG00000248188.2	RP11-442P12.2	0
12606	ENSG00000251758.1	RNU6-350P	0
12610	ENSG00000248851.1	AC006427.2	0
12612	ENSG00000248138.1	RP11-446J8.1	0
12614	ENSG00000249998.1	RP11-141E13.1	0
12615	ENSG00000251212.1	MTND5P4	0
12616	ENSG00000250819.1	RP11-576E20.1	0
12617	ENSG00000206780.1	SNORA75	0
12618	ENSG00000215278.4	RPS7P6	0
12620	ENSG00000249581.2	CLRN2	0
12621	ENSG00000238536.1	snoU13	0
12622	ENSG00000249488.1	AC006160.4	0
12625	ENSG00000265011.1	RN7SL315P	0
12633	ENSG00000248238.1	RP11-3J1.1	0
12634	ENSG00000251816.1	RNA5SP157	0
12636	ENSG00000249441.1	RP11-94H6.1	0
12638	ENSG00000250611.1	RP11-339D20.1	0
12640	ENSG00000248228.1	SLIT2-IT1	0
12641	ENSG00000207732.1	MIR218-1	0
12645	ENSG00000250243.2	RP11-120A1.1	0
12646	ENSG00000250092.2	RP11-556G22.3	0
12647	ENSG00000242768.2	RP11-556G22.1	0
12648	ENSG00000248343.1	RP11-556G22.2	0
12649	ENSG00000250039.3	RP11-17E2.2	0
12650	ENSG00000239001.1	RNU6-420P	0
12652	ENSG00000238383.1	snoU13	0
12654	ENSG00000251516.1	RP11-10G12.2	0
12659	ENSG00000249547.1	RP11-453O5.1	0
12662	ENSG00000251292.1	RP11-380P13.2	0
12665	ENSG00000222262.1	AC092846.1	0
12666	ENSG00000265001.1	AC092846.2	0
12668	ENSG00000207697.1	MIR573	0
12669	ENSG00000243005.2	RN7SL16P	0
12672	ENSG00000251638.1	AC006390.4	0
12673	ENSG00000248444.1	HNRNPA1P65	0
12681	ENSG00000264496.1	AC108218.1	0
12683	ENSG00000249320.1	RP11-206P5.1	0
12685	ENSG00000238632.1	RNU7-126P	0
12686	ENSG00000248545.1	RP11-302F12.3	0
12690	ENSG00000249277.1	RP11-302F12.4	0
12692	ENSG00000248133.1	RP11-302F12.7	0
12693	ENSG00000251353.1	MTND3P5	0
12694	ENSG00000248654.1	RP11-302F12.5	0
12696	ENSG00000250541.1	RP11-302F12.10	0
12699	ENSG00000248452.2	RP11-324H7.1	0
12701	ENSG00000163394.5	CCKAR	0
12703	ENSG00000265627.1	AC093807.1	0
12704	ENSG00000200999.1	SNORD74	0
12707	ENSG00000248340.2	RP11-293A21.2	0
12708	ENSG00000251080.1	RP11-415C15.1	0
12709	ENSG00000205830.1	AC024132.1	0
12710	ENSG00000249699.1	RP11-415C15.2	0
12711	ENSG00000222206.1	Y_RNA	0
12712	ENSG00000251325.1	RP11-415C15.3	0
12713	ENSG00000250858.1	IGBP1P5	0
12716	ENSG00000250064.1	RP11-123O22.1	0
12717	ENSG00000243548.2	RN7SL101P	0
12718	ENSG00000250927.1	MESTP3	0
12719	ENSG00000250190.1	RP11-292B1.2	0
12720	ENSG00000249228.1	RP11-769N22.1	0
12721	ENSG00000248176.1	RP11-472K22.1	0
12722	ENSG00000248338.1	RP11-472K22.2	0
12723	ENSG00000251373.1	RP11-68D16.1	0
12724	ENSG00000251113.2	RP11-68D16.2	0
12725	ENSG00000252303.1	RNU6-1221P	0
12726	ENSG00000249542.2	EEF1A1P21	0
12727	ENSG00000212045.1	AC109351.1	0
12728	ENSG00000249564.1	RP11-390C19.1	0
12729	ENSG00000244031.3	RPS3AP17	0
12730	ENSG00000248281.1	RP11-174E22.2	0
12732	ENSG00000249678.1	RP11-619J20.1	0
12733	ENSG00000250624.1	RP11-93M12.1	0
12734	ENSG00000251182.1	RP11-617I14.1	0
12736	ENSG00000249882.1	RP11-665I14.1	0
12738	ENSG00000251329.1	RP11-240A16.1	0
12740	ENSG00000249452.2	RP11-638O6.1	0
12741	ENSG00000249766.1	RP11-802H3.1	0
12742	ENSG00000248417.1	RP11-802H3.2	0
12743	ENSG00000265035.1	AC079772.1	0
12745	ENSG00000251755.1	RNU7-131P	0
12749	ENSG00000263814.1	AC093786.1	0
12750	ENSG00000250597.1	RP11-725M22.1	0
12751	ENSG00000238694.1	snoU13	0
12752	ENSG00000250416.2	SEC63P2	0
12753	ENSG00000206665.1	RNU6-573P	0
12755	ENSG00000248466.1	RP11-640B6.1	0
12757	ENSG00000197057.4	DTHD1	0
12762	ENSG00000247810.2	RP11-103J17.1	0
12763	ENSG00000264319.1	MIR4801	0
12768	ENSG00000207075.1	Y_RNA	0
12773	ENSG00000250254.1	PTTG2	0
12775	ENSG00000249649.1	MRPS33P2	0
12776	ENSG00000221495.1	AC098680.1	0
12777	ENSG00000251642.1	RP11-600L4.1	0
12778	ENSG00000248227.1	RP11-83C7.1	0
12780	ENSG00000249667.1	RP11-213G21.1	0
12781	ENSG00000251635.1	RP11-213G21.2	0
12783	ENSG00000271958.1	RP11-617D20.2	0
12786	ENSG00000222230.1	RNA5SP158	0
12791	ENSG00000207944.1	MIR574	0
12798	ENSG00000206675.1	RNU6-32P	0
12799	ENSG00000222592.1	RNU6-887P	0
12801	ENSG00000264621.1	MIR5591	0
12802	ENSG00000238797.1	Y_RNA	0
12809	ENSG00000252796.1	RNU7-11P	0
12812	ENSG00000252975.1	Y_RNA	0
12813	ENSG00000249019.2	RP11-539G18.1	0
12814	ENSG00000243260.2	RN7SL558P	0
12817	ENSG00000271278.1	TCEB1P33	0
12818	ENSG00000252970.1	RNA5SP159	0
12824	ENSG00000200455.1	RNU6-1112P	0
12825	ENSG00000201863.1	SNORA51	0
12829	ENSG00000250338.1	RP11-395I6.2	0
12832	ENSG00000239010.1	RNU7-74P	0
12835	ENSG00000221122.2	AC098869.1	0
12836	ENSG00000242197.2	RP11-588L15.1	0
12837	ENSG00000263642.1	MIR4802	0
12841	ENSG00000250906.1	RP11-632F7.3	0
12842	ENSG00000207195.1	Y_RNA	0
12843	ENSG00000238351.1	snoU13	0
12844	ENSG00000201736.1	RNA5SP160	0
12845	ENSG00000199790.1	RNU6-836P	0
12847	ENSG00000251173.1	UCHL1-AS1	0
12849	ENSG00000207481.1	Y_RNA	0
12851	ENSG00000239627.3	RP11-124A7.1	0
12852	ENSG00000249216.1	RP11-227F19.5	0
12853	ENSG00000249081.1	OR5M14P	0
12855	ENSG00000250467.1	RP11-227F19.1	0
12856	ENSG00000249122.1	RP11-227F19.2	0
12857	ENSG00000200338.1	RNU1-49P	0
12858	ENSG00000249745.1	HMGB1P28	0
12859	ENSG00000245870.2	LINC00682	0
12860	ENSG00000249771.1	RP11-457P14.5	0
12861	ENSG00000249887.1	RP11-457P14.6	0
12868	ENSG00000250781.1	RP11-63A11.1	0
12869	ENSG00000178343.4	SHISA3	0
12871	ENSG00000266058.1	AC084010.1	0
12873	ENSG00000248283.2	RP11-473D24.1	0
12874	ENSG00000260519.1	RP11-109E24.2	0
12875	ENSG00000251517.1	RP11-109E24.1	0
12876	ENSG00000252595.1	RN7SKP82	0
12877	ENSG00000215203.2	GRXCR1	0
12878	ENSG00000248939.1	RP11-395F4.1	0
12879	ENSG00000250657.1	RP11-1E6.1	0
12881	ENSG00000248143.1	RP11-324J13.2	0
12882	ENSG00000251501.1	RP11-466J24.1	0
12883	ENSG00000239464.2	RN7SL691P	0
12884	ENSG00000239679.2	RN7SL193P	0
12886	ENSG00000250863.1	RP11-663P9.1	0
12889	ENSG00000251159.1	RP11-500G9.1	0
12890	ENSG00000177752.10	YIPF7	0
12894	ENSG00000249729.2	RP11-55C6.1	0
12895	ENSG00000248987.2	PRDX4P1	0
12896	ENSG00000248744.1	RP11-362I1.1	0
12897	ENSG00000248320.1	PRKRIRP9	0
12898	ENSG00000224560.3	RP11-270L13.1	0
12899	ENSG00000200720.1	RNU6-931P	0
12900	ENSG00000222257.1	RN7SKP199	0
12904	ENSG00000249330.1	RP11-436F23.1	0
12905	ENSG00000252243.1	RNU6-412P	0
12908	ENSG00000109158.6	GABRA4	0
12910	ENSG00000238301.1	snoU13	0
12915	ENSG00000248254.1	AC092597.3	0
12918	ENSG00000251827.1	RN7SKP215	0
12923	ENSG00000221764.1	AC107068.1	0
12925	ENSG00000200269.1	RNU6-838P	0
12926	ENSG00000253050.1	RNU6-868P	0
12928	ENSG00000202014.1	Y_RNA	0
12933	ENSG00000251722.1	RNU5E-3P	0
12935	ENSG00000248256.1	OCIAD1-AS1	0
12937	ENSG00000252913.1	RNU6-158P	0
12938	ENSG00000251334.2	RP11-317G22.2	0
12941	ENSG00000222437.1	AC118282.3	0
12942	ENSG00000221747.1	AC118282.2	0
12943	ENSG00000221415.1	AC118282.1	0
12945	ENSG00000266337.1	AC118282.4	0
12954	ENSG00000248532.2	RP11-241F15.5	0
